hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series
93,CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,WXVLITNXXROEMR-UHFFFAOYSA-N,1,1,{6297},"['Syndirella base', 'merge', 'SeeSAR', 'JA', 'fragmenstein', 'raw', 'pure_merges']",1,{1},[103],"{4554, 85}",[4],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,True,[93]
95,O=c1ccncn1CC1CCS(=O)(=O)C1,UGYMLSSIEIESGU-UHFFFAOYSA-N,1,0,set(),"['Syndirella base', 'SeeSAR', 'merge', 'JA']",1,{1},[29],"{4466, 4467}",[5],Nucleophilic_substitution_with_amine,True,[95]
104,Cn1c(N)nc2cccc(NCc3cccs3)c21,DGASNXVGKHJXGC-UHFFFAOYSA-N,1,1,{6278},"['Syndirella base', 'merge', 'SeeSAR', 'raw', 'fragmenstein', 'arg144_pures', 'DF', 'pure_merges']",1,{1},[82],"{4440, 4530}",[13],Buchwald-Hartwig_amination,True,[104]
796,Nc1cc(-c2cc[nH]n2)cc2c1OCO2,RGWZNWCCBDMABV-UHFFFAOYSA-N,1,0,set(),"['Syndirella base', 'raw', 'fragmenstein', 'arg144_pures', 'pure_merges']",1,{1},[37],"{4480, 4445}",[25],Sp2-sp2_Suzuki_coupling,True,[796]
1001,COC(=O)c1cnc2[nH]cc(C)cc1-2,QZVYQICELPCZOV-UHFFFAOYSA-N,1,0,set(),"['fragmenstein', 'Syndirella base', 'raw', 'pure_merges']",1,{1},[94],"{4545, 4546}",[34],Steglich_esterification,True,[1001]
1128,CC(C)c1cccc2[nH]cnc12,DZVXXHSUENHLJH-UHFFFAOYSA-N,1,0,set(),"['fragmenstein', 'Syndirella base', 'raw', 'pure_merges']",1,{1},[105],"{4557, 4558}",[41],Sp3-sp2_Suzuki_coupling,True,[1128]
1316,CC1CN(C(=O)c2cccc(F)c2)CCN1,GEKAQEZWMKZGCA-UHFFFAOYSA-N,1,0,set(),"['fragmenstein', 'Syndirella base', 'raw', 'pure_merges']",1,{1},[85],"{4534, 4535}",[48],Amidation,True,[1316]
1473,CC(C)(C)c1cnc2ccccc2n1,MMXSHBZOILNLPJ-UHFFFAOYSA-N,1,1,{6276},"['Syndirella base', 'raw', 'fragmenstein', 'arg144_pures', 'pure_merges']",1,{1},[61],"{4505, 4507}",[54],Sp3-sp2_Suzuki_coupling,True,[1473]
1917,CCc1nc(Cn2ccc(Br)cc2=O)no1,QQERROZMPKKQER-UHFFFAOYSA-N,1,1,{6251},"['fragmenstein', 'Syndirella base', 'raw', 'pure_merges']",1,{1},[33],"{4472, 84}",[58],Nucleophilic_substitution_with_amine,True,[1917]
2916,COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1,QVSYFXSEJNFZKD-UHFFFAOYSA-N,1,0,set(),"['arg144_pures', 'fragmenstein', 'Syndirella base', 'raw']",1,{1},[17],"{4449, 4450}",[68],Amidation,True,[2916]
2925,Cc1cccc(O)c1Nc1ccccc1,XQWKZXHQRAAZAF-UHFFFAOYSA-N,1,0,set(),"['arg144_pures', 'fragmenstein', 'Syndirella base', 'raw']",1,{1},[108],"{4451, 4439}",[72],Buchwald-Hartwig_amination,True,[2925]
3284,Oc1cc2c(cc1-c1ccn[nH]1)OCO2,DETJXFSIQJPJAJ-UHFFFAOYSA-N,1,0,set(),"['arg144_pures', 'fragmenstein', 'Syndirella base', 'raw']",1,{1},[14],"{4444, 4445}",[85],Sp2-sp2_Suzuki_coupling,True,[3284]
3624,COCC(=O)Nc1ccc(O)cc1N,XMHJIXAUMMKGLT-UHFFFAOYSA-N,1,0,set(),"['arg144_pures', 'fragmenstein', 'Syndirella base', 'raw']",1,{1},[35],"{4476, 4477}",[89],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,True,[3624]
3625,Cc1cccc(O)c1Nc1ccc(O)cc1,JXRCCCJCUJURBQ-UHFFFAOYSA-N,1,1,{104911},"['arg144_pures', 'fragmenstein', 'Syndirella base', 'raw']",1,{1},[18],"{4451, 4452}",[90],Buchwald-Hartwig_amination,False,[2925]
3628,Oc1ccc(Nc2ccncc2O)cc1,MIMRXPBJLOWRMN-UHFFFAOYSA-N,1,0,set(),"['arg144_pures', 'fragmenstein', 'Syndirella base', 'raw']",1,{1},[43],"{4483, 4452}",[92],Buchwald-Hartwig_amination,True,[3628]
76982,O=C(Nc1noc(C2CC2)n1)c1ccnc(NC2CC=CC2)c1,RVONYHCTWCRDJF-UHFFFAOYSA-N,1,1,{98837},[],1,{1},[63375],"{85, 76981}",[62694],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[93]
76984,CC(C)c1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,QYWGYJFOJRFRHH-UHFFFAOYSA-N,1,1,{98838},[],1,{1},[63376],"{85, 76983}",[62695],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[93]
76990,O=C(Nc1noc(C2CCC2)n1)c1ccnc(NC2CC=CC2)c1,SFDTUZQHZKCPRN-UHFFFAOYSA-N,1,1,{98841},[],1,{1},[63379],"{85, 76989}",[62698],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[93]
76994,CC1(c2nc(NC(=O)c3ccnc(NC4CC=CC4)c3)no2)CCOC1,KDAPNLCPIPSDQD-UHFFFAOYSA-N,1,2,"{98843, 98844}",[],1,{1},[63381],"{76993, 85}",[62700],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[93]
76996,COC1(c2nc(NC(=O)c3ccnc(NC4CC=CC4)c3)no2)CCOC1,LRNNKMIDGWTQJR-UHFFFAOYSA-N,1,2,"{98845, 98846}",[],1,{1},[63382],"{76995, 85}",[62701],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[93]
49582,CN(C(=O)C1CCN1)c1c(NC(=O)COC(F)F)ccc(O)c1C#N,FTEDAAMHBNYUBM-UHFFFAOYSA-N,1,1,{55611},[],1,{2},"[37302, 38408]","{4497, 14523, 48406}",[37885],"N-nucleophilic_aromatic_substitution, Amidation",False,[3611]
87449,CCOC(=O)C(=O)Nc1cccc(F)c1[N+](=O)[O-],YAYSMZQHKVPAKO-UHFFFAOYSA-N,1,1,{112901},[],1,{1},[74366],"{11763, 86549}",[73348],Ester_amidation,False,[2924]
64501,CC1C(=O)NCCN1C(=O)c1cc(F)c(F)cc1N,FOWXQTXOOVBNJW-UHFFFAOYSA-N,1,2,"{80889, 80890}",[],1,{1},[51590],"{12370, 14043}",[50915],Amidation,False,[1316]
31643,Cc1c(Br)ccn(Cc2noc(C3CC3)n2)c1=O,ATJZGMKGFXUPAN-UHFFFAOYSA-N,1,1,{35376},[],1,{1},[22911],"{31625, 31631}",[22618],Nucleophilic_substitution_with_amine,False,[1917]
26948,CN(NC(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12)C(N)=O,RHDPETMHGQCXET-UHFFFAOYSA-N,1,1,{29383},[],1,{1},[19113],"{25833, 13764}",[18945],Amidation,False,[2188]
40898,Oc1ccc(Nc2ccncc2O)c(Cl)c1,ZIUQIFJMKDQIMW-UHFFFAOYSA-N,1,1,{46941},[],1,{1},[30156],"{4483, 9132}",[29863],Buchwald-Hartwig_amination,False,[3628]
19846,COc1cc(C=O)c(Nc2cc(F)c(O)cc2Cl)c(OC)c1,WUQJMUSEGZXREA-UHFFFAOYSA-N,1,1,{20979},[],1,{1},[12081],"{10848, 18254}",[12011],Buchwald-Hartwig_amination,False,[3625]
29780,CCc1[nH]c(=O)n(CC2CCS(=O)(=O)C2)c(=O)c1N,YERROGAWGHMJSN-UHFFFAOYSA-N,1,2,"{32123, 32124}",[],1,{1},[21327],"{4466, 29773}",[21060],Nucleophilic_substitution_with_amine,False,[95]
78140,O=C(Cc1cccc(OC(F)F)n1)Nc1cnc(Br)cc1C(=O)O,NDIXQJXCJCMZTG-UHFFFAOYSA-N,1,1,{100963},[],1,{1},[64512],"{37888, 77132}",[63831],Amidation,False,[1012]
59812,Cc1ccsc1C1CCCCCN1c1cc(C(=O)O)cc2nc(N)n(C)c12,HLZVMXCWEWCTOV-UHFFFAOYSA-N,1,1,{75257},[],1,{1},[47990],"{58969, 14403}",[47315],Buchwald-Hartwig_amination,False,[104]
6125,C#CCOc1ncccc1C(=O)N1CCCCC1c1ccc(O)nc1,OPZXWXCXJQFWDV-UHFFFAOYSA-N,1,2,"{8262, 8263}",[],1,{1},[1486],"{6089, 5797}",[1476],Amidation,False,[653]
12272,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc([N+](=O)[O-])cc2)c(Cl)c1,UFHUHRFWKBEZPN-UHFFFAOYSA-N,1,1,{13918},[],1,{1},[6053],"{4579, 10782}",[5983],Amidation,False,[2944]
40492,Nc1cc(-c2ccn(CC(F)F)n2)cc2c1OCO2,MOLHQPPIEJBAAQ-UHFFFAOYSA-N,1,2,"{46768, 46420}",[],1,{1},[29677],"{4480, 40491}",[29386],Sp2-sp2_Suzuki_coupling,False,[796]
36847,COCC(=O)NOCC(=O)Nc1cc2c(cc1N)OCCO2,VZEQNMOPRLHGLE-UHFFFAOYSA-N,1,2,"{86225, 41359}",[],1,{1},[26608],"{35857, 35586}",[26316],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[3624]
72969,COc1ccc(N)cc1C(=O)Nc1cc(I)c(O)c(I)c1,RFCIPTSAYAETTH-UHFFFAOYSA-N,1,1,{93975},[],1,{1},[59377],"{72795, 10228}",[58696],Ester_amidation,False,[3627]
53250,FC(F)(F)c1ccc2nc(C34CC3C4)cnc2c1,CSEPTYUGKSZCPY-UHFFFAOYSA-N,1,1,{65400},[],1,{1},[41534],"{53200, 52789}",[40958],Sp3-sp2_Suzuki_coupling,False,[1473]
14997,COC(C(=O)Nc1ccc(Cl)c(C(=O)NCc2cccs2)c1)C(C)C,RVLIBSAFXNZNQW-UHFFFAOYSA-N,1,2,"{15966, 15967}",[],1,{1},[7667],"{14614, 14503}",[7597],Amidation,False,[2916]
72297,Cc1cc(Cl)c(N)cc1NC(=O)c1cc(Cl)c2c(c1)[nH]c(=O)n2C,VPLRZYQURNFOPZ-UHFFFAOYSA-N,1,1,{93309},[],1,{1},[58717],"{11194, 68670}",[58036],Amidation,False,[2919]
81547,COc1cc(Nc2ccccc2C)cc(C)c1I,BEJJFSGRWJSFBR-UHFFFAOYSA-N,1,1,{105678},[],1,{1},[67999],"{8601, 16731}",[67318],Buchwald-Hartwig_amination,False,[2925]
78608,Cn1cnc2c(C3COC3)cccc21,CSYGCBBOSAXSJE-UHFFFAOYSA-N,1,1,{101588},[],1,{1},[64957],"{78576, 78607}",[64283],Sp3-sp2_Suzuki_coupling,False,[1128]
8372,COc1sc(CN(CC(O)CO)C(=O)c2cc(C(=O)O)nn2C)cc1Br,SDGUZSVJRIKLRW-UHFFFAOYSA-N,1,2,"{11258, 11259}",[],1,{1},[3433],"{8010, 8243}",[3424],Ester_amidation,False,[1192]
48486,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1C(=O)CNC1=S,QSFDRLNGCTXARP-UHFFFAOYSA-N,1,1,{53984},[],1,{2},"[37286, 37357]","{4497, 48370, 15671}",[36892],"N-nucleophilic_aromatic_substitution, Amidation",False,[3611]
87275,C#CCOCC(=O)Nc1cc(Cl)c(F)cc1N,RVKZEAKZGTVGIA-UHFFFAOYSA-N,1,1,{112655},[],1,{1},[73846],"{10293, 86614}",[73163],Ester_amidation,False,[2924]
64280,COc1ccc(F)cc1C(=O)N1CCNC(C)C1C,SZKWZDPNGMZJHH-UHFFFAOYSA-N,1,4,"{80416, 80417, 80418, 80415}",[],1,{1},[51369],"{63203, 63062}",[50694],Amidation,False,[1316]
31711,CC(C)Cc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,FIKQSZOCVPTCTI-UHFFFAOYSA-N,1,1,{35440},[],1,{1},[22968],"{31657, 31621}",[22675],Nucleophilic_substitution_with_amine,False,[1917]
26939,Cn1c(Cl)c(C(=O)NCCC(Cl)Cl)c2cc(Cl)c(Cl)cc21,VZMAPPMXABTTMI-UHFFFAOYSA-N,1,1,{29373},[],1,{1},[19104],"{25833, 13690}",[18936],Amidation,False,[2188]
41763,COc1ccc(N(C)c2ccncc2O)cc1F,XHPQDAKVXLMYAN-UHFFFAOYSA-N,1,1,{47774},[],1,{1},[31088],"{17226, 4483}",[30798],Buchwald-Hartwig_amination,False,[3628]
18430,COc1ccc(Nc2c(OC)ccc3c2CCC3)cc1F,DTSZEJFKVVQXKM-UHFFFAOYSA-N,1,1,{19571},[],1,{1},[10644],"{16912, 10862}",[10580],Buchwald-Hartwig_amination,False,[3625]
30095,Cn1ncc2nc(Cl)n(CC3CCS(=O)(=O)C3)c(=O)c21,LYEUFVGGUCTBSU-UHFFFAOYSA-N,1,1,{32410},[],1,{1},[21501],"{4466, 30094}",[21234],Nucleophilic_substitution_with_amine,False,[95]
77866,COc1cccc(C(F)(F)C(=O)Nc2c(C)ccnc2CO)n1,RZYOLOOYKSKWSQ-UHFFFAOYSA-N,1,1,{100512},[],1,{1},[64239],"{37616, 77062}",[63558],Amidation,False,[1012]
58703,Cc1csc(CN(C)c2cc(F)cc3nc(N)n(C)c23)c1,YLTGAPROOKEUCH-UHFFFAOYSA-N,1,1,{73945},[],1,{1},[47032],"{58521, 12875}",[46357],Buchwald-Hartwig_amination,False,[104]
6616,COCCOc1ncccc1C(=O)N1CCCCC1c1ccc(O)nc1,HBQFMVQDSMREEH-UHFFFAOYSA-N,1,2,"{8806, 8807}",[],1,{1},[1949],"{6089, 5836}",[1939],Amidation,False,[653]
10023,NC(=O)c1cc(Cl)c(C(=O)Nc2cccc(Br)c2S)c(Cl)c1,LIVPMYYMBBCDFT-UHFFFAOYSA-N,1,1,{12355},[],1,{1},[4504],"{9264, 4579}",[4434],Amidation,False,[2944]
40715,Cn1ncc(NC(=O)OC(C)(C)C)c1-c1cc(N)c2c(c1)OCO2,NHFGUUPWDGHPIV-UHFFFAOYSA-N,1,2,"{46546, 46892}",[],1,{1},[29817],"{4480, 40714}",[29524],Sp2-sp2_Suzuki_coupling,False,[796]
36349,COc1ccc(NC(=O)C(=O)OC(C)(C)C)c(N=[N+]=[N-])c1,MELUHIUKOCZYJI-UHFFFAOYSA-N,1,1,{40603},[],1,{1},[26128],"{35584, 35733}",[25836],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[3624]
75646,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1cc(I)c(O)c(I)c1,YFMMIRISAYEDEX-UHFFFAOYSA-N,1,1,{96591},[],1,{1},[62089],"{74586, 10228}",[61408],Ester_amidation,False,[3627]
53737,Cc1nc2ccccc2nc1C1(C2CC2)CCOCC1,RWYUVIMPTJPWPO-UHFFFAOYSA-N,1,1,{66167},[],1,{1},[42032],"{52795, 53478}",[41471],Sp3-sp2_Suzuki_coupling,False,[1473]
15707,COC(CC1CCCC1)C(=O)Nc1cccc(C(=O)NCc2cccs2)c1,KSVKSMSOIXOMEB-UHFFFAOYSA-N,1,2,"{16689, 16690}",[],1,{1},[8109],"{4450, 15706}",[8039],Amidation,False,[2916]
72443,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc(F)c([N+](=O)[O-])c3)cc(Cl)c21,NPXUXTPGHGXKGO-UHFFFAOYSA-N,1,1,{93458},[],1,{1},[58863],"{11753, 68670}",[58182],Amidation,False,[2919]
82536,COc1cc(Br)cc(C)c1Nc1cccc(F)c1Cl,WBTNDPCBISTBDL-UHFFFAOYSA-N,1,1,{106770},[],1,{1},[69035],"{16731, 8947}",[68376],Buchwald-Hartwig_amination,False,[2925]
79873,Cn1c(O)nc2c(C3(C)CCOC3)cccc21,ZDDJHSUSVFXCKN-UHFFFAOYSA-N,1,2,"{103228, 103229}",[],1,{1},[66326],"{52916, 78623}",[65647],Sp3-sp2_Suzuki_coupling,False,[1128]
8358,COc1sc(CN(CC(O)CO)C(=O)c2cc([N+](=O)[O-])nn2C)cc1Br,XCYKKTHXRDYWAK-UHFFFAOYSA-N,1,2,"{11241, 11242}",[],1,{1},[3434],"{8002, 8243}",[3411],Ester_amidation,False,[1192]
49058,CN(C)CC(=O)Nc1c(NC(=O)C2=CCCO2)ccc(O)c1C#N,KYBOJVPYOMLTIL-UHFFFAOYSA-N,1,1,{54748},[],1,{2},"[37347, 37900]","{48232, 4497, 14517}",[37380],"N-nucleophilic_aromatic_substitution, Amidation",False,[3611]
87691,Nc1c(NC(=O)COCCCBr)ccc(Br)c1F,RBXGBZIZXZWYLY-UHFFFAOYSA-N,1,1,{113170},[],1,{1},[74266],"{10336, 86686}",[73585],Ester_amidation,False,[2924]
62996,CC1CNCCN1C(=O)c1cc(F)cc(Cl)c1,HXHRCVANLJFORA-UHFFFAOYSA-N,1,2,"{78022, 78023}",[],1,{1},[50300],"{62995, 4535}",[49625],Amidation,False,[1316]
31777,CCCCc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,SLEYBXRTCYLYES-UHFFFAOYSA-N,1,1,{35504},[],1,{1},[23026],"{31621, 31653}",[22733],Nucleophilic_substitution_with_amine,False,[1917]
26212,CN(CCCO)C(=O)c1cn(C)c2cc(Cl)ccc12,ZFSRXWHEPOUCLA-UHFFFAOYSA-N,1,1,{28417},[],1,{1},[18377],"{13750, 4462}",[18209],Amidation,False,[2188]
41737,COc1c(I)cc(Nc2ccncc2O)cc1I,SMUPBFYQUGCNGO-UHFFFAOYSA-N,1,1,{47748},[],1,{1},[31062],"{17258, 4483}",[30772],Buchwald-Hartwig_amination,False,[3628]
16781,COc1ccc(Nc2c(C)cccc2O)cc1Cl,CPTCCXRJTWYYNV-UHFFFAOYSA-N,1,1,{17971},[],1,{1},[8976],"{10922, 4451}",[8906],Buchwald-Hartwig_amination,False,[3625]
29052,O=c1cc(CCl)[nH]c(=O)n1CC1CCS(=O)(=O)C1,PCGIMQYKMNOYEP-UHFFFAOYSA-N,1,2,"{31412, 31413}",[],1,{1},[20933],"{4466, 29051}",[20666],Nucleophilic_substitution_with_amine,False,[95]
38851,Cc1nc(Cl)c(NC(=O)C2CCc3ccc(=O)[nH]c32)c(C)c1C,HGBAJEMUEKUJKI-UHFFFAOYSA-N,1,4,"{44331, 44332, 100133, 100134}",[],1,{1},[28264],"{37896, 37786}",[27971],Amidation,False,[1012]
59563,Cn1c(N)nc2cccc(N3C(C(=O)O)CSC3c3ccc(Cl)s3)c21,QSARRORVVCSXSB-UHFFFAOYSA-N,1,3,"{74949, 74950, 74951}",[],1,{1},[47751],"{4530, 14470}",[47076],Buchwald-Hartwig_amination,False,[104]
6085,CCOc1ncccc1C(=O)N1CCCC1c1ccc(OC)nc1,QUPWOWSONXPQQX-UHFFFAOYSA-N,1,2,"{8218, 8219}",[],1,{1},[1452],"{4427, 6084}",[1442],Amidation,False,[653]
