hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series
11222,Cc1cc(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)c(Cl)cc1Cl,DMXCPDHEVSRFFY-UHFFFAOYSA-N,1,1,{13041},[],1,{1},[5186],"{10563, 4579}",[5116],Amidation,False,[2944]
40371,Cn1ncc(Cl)c1-c1cc(N)c2c(c1)OCO2,BFZVQBASOWSUJT-UHFFFAOYSA-N,1,2,"{46362, 46710}",[],1,{1},[29609],"{4480, 40370}",[29316],Sp2-sp2_Suzuki_coupling,False,[796]
37087,COc1cc(N)c(NC(=O)C(C)OCc2ccccc2)cc1Br,XJQWQCNJWGSCQA-UHFFFAOYSA-N,1,4,"{86633, 41842, 41843, 86634}",[],1,{1},[26844],"{36435, 35532}",[26552],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[3624]
76522,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1ccc(O)cc1[N+](=O)[O-],BVVWEQPKDQFMBK-UHFFFAOYSA-N,1,1,{97466},[],1,{1},[62957],"{74586, 17246}",[62276],Ester_amidation,False,[3627]
53837,OCCC1(c2cnc3ccc(C(F)(F)F)cc3n2)CC1,PKRDIOBQFMHZPM-UHFFFAOYSA-N,1,1,{66300},[],1,{1},[42151],"{53202, 52914}",[41578],Sp3-sp2_Suzuki_coupling,False,[1473]
15060,CCC(CC)C(OC)C(=O)Nc1cccc(C(=O)NCc2cccs2)c1,ZHAQWAGCDVSHQF-UHFFFAOYSA-N,1,2,"{16035, 16036}",[],1,{1},[7714],"{4450, 15059}",[7644],Amidation,False,[2916]
71887,Cn1c(=O)[nH]c2cc(C(=O)Nc3c(F)cc(Cl)cc3F)cc(Cl)c21,VUVYGJWKIWSSGV-UHFFFAOYSA-N,1,1,{92824},[],1,{1},[58308],"{10741, 68670}",[57627],Amidation,False,[2919]
82689,COc1cc(Br)cc(CO)c1Nc1cc(F)ccc1O,MEGCTDBRIZDQNV-UHFFFAOYSA-N,1,1,{106943},[],1,{1},[69210],"{8945, 16954}",[68529],Buchwald-Hartwig_amination,False,[2925]
78635,Cn1c(Cl)nc2c(C3CC3)cccc21,VYIURGJIPNCJKA-UHFFFAOYSA-N,1,1,{101613},[],1,{1},[64987],"{78581, 78631}",[64311],Sp3-sp2_Suzuki_coupling,False,[1128]
8321,COc1sc(CN(CC(O)CO)C(=O)c2c(Br)c(C)nn2C)cc1Br,RNWPOBYYMPIYPG-UHFFFAOYSA-N,1,1,{11206},[],1,{1},[3387],"{7960, 8243}",[3378],Ester_amidation,False,[1192]
26116,CCN(C(=O)c1cn(C)c2cc(Cl)ccc12)C(C)C,OPZSPDRBUAYJSQ-UHFFFAOYSA-N,1,1,{28290},[],1,{1},[18281],"{13930, 4462}",[18113],Amidation,False,[2188]
81003,Cc1cccc(O)c1Nc1cccc(F)c1Cl,NSKAXFKIEYACNT-UHFFFAOYSA-N,1,1,{105087},[],1,{1},[67439],"{4451, 8947}",[66758],Buchwald-Hartwig_amination,False,[2925]
82713,COc1cc(Br)cc(CO)c1Nc1cccc(F)c1Cl,ZPNVWTHMWLOMFF-UHFFFAOYSA-N,1,1,{106971},[],1,{1},[69234],"{16954, 8947}",[68553],Buchwald-Hartwig_amination,False,[2925]
31622,CCc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,NEFGIVMWIPKFJT-UHFFFAOYSA-N,1,1,{35361},[],1,{1},[22896],"{4472, 31621}",[22603],Nucleophilic_substitution_with_amine,False,[1917]
59040,Cc1csc(CN(C)c2cc(C(=O)O)cc3nc(N)n(C)c23)c1,IIDWXUVFKFQALQ-UHFFFAOYSA-N,1,1,{74322},[],1,{1},[47301],"{58969, 12875}",[46626],Buchwald-Hartwig_amination,False,[104]
73007,COc1ccc(N)cc1C(=O)Nc1cc(F)c(O)cc1Cl,KCFJSDZWSWQWBN-UHFFFAOYSA-N,1,1,{94008},[],1,{1},[59410],"{10848, 72795}",[58729],Ester_amidation,False,[3627]
29053,O=c1cc(CCl)n(CC2CCS(=O)(=O)C2)c(=O)[nH]1,RPVLVMNDDYWZTO-UHFFFAOYSA-N,1,2,"{31414, 31415}",[],1,{1},[20934],"{4466, 29051}",[20667],Nucleophilic_substitution_with_amine,False,[95]
31642,O=c1c(Cl)c(Br)ccn1Cc1noc(C2CC2)n1,WFSYDNUCHCVRMD-UHFFFAOYSA-N,1,1,{35375},[],1,{1},[22910],"{31621, 31631}",[22617],Nucleophilic_substitution_with_amine,False,[1917]
31632,O=c1cc(Br)ccn1Cc1noc(C2CC2)n1,KBVJRQKQCKILOY-UHFFFAOYSA-N,1,1,{35366},[],1,{1},[22901],"{84, 31631}",[22608],Nucleophilic_substitution_with_amine,False,[1917]
72376,Cc1cc(Cl)c(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1N,KRHNAGQEEAXIPR-UHFFFAOYSA-N,1,1,{93388},[],1,{1},[58796],"{11194, 68670}",[58115],Amidation,False,[2919]
52811,Cc1nc2ccccc2nc1C12CC1C2,JTWXPXYTTCHQFH-UHFFFAOYSA-N,1,1,{64854},[],1,{1},[41080],"{52795, 52789}",[40516],Sp3-sp2_Suzuki_coupling,False,[1473]
48483,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CC(=O)NC1=S,JDTWERWWQJXUMJ-UHFFFAOYSA-N,1,1,{53980},[],1,{2},"[37286, 37354]","{4497, 48370, 15671}",[36889],"N-nucleophilic_aromatic_substitution, Amidation",False,[3611]
63250,COc1ccc(F)cc1C(=O)N1CCNC(C)C1,LILGELNVMFEYFO-UHFFFAOYSA-N,1,2,"{78384, 78383}",[],1,{1},[50452],"{63203, 4535}",[49777],Amidation,False,[1316]
82639,COc1ccc2c(c1Nc1cccc(F)c1Cl)CCC2,QLNQPKZCPUHQMS-UHFFFAOYSA-N,1,1,{106883},[],1,{1},[69160],"{16912, 8947}",[68479],Buchwald-Hartwig_amination,False,[2925]
9915,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(O)cc2Cl)c(Cl)c1,SAIDAQMCKKGFBM-UHFFFAOYSA-N,1,1,{12247},[],1,{1},[4396],"{4579, 9132}",[4326],Amidation,False,[2944]
52796,Cc1nc2ccccc2nc1C(C)(C)C,WKWFATFSDWZIJI-UHFFFAOYSA-N,1,1,{64840},[],1,{1},[41060],"{52795, 4507}",[40494],Sp3-sp2_Suzuki_coupling,False,[1473]
76509,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1cc(I)c(OC)c(I)c1,LVSQTCQFNZKWPE-UHFFFAOYSA-N,1,1,{97453},[],1,{1},[62944],"{17258, 74586}",[62263],Ester_amidation,False,[3627]
59548,Cc1ccsc1C1CCCCCN1c1cc(F)cc2nc(N)n(C)c12,FAAKLJKZFUVQPS-UHFFFAOYSA-N,1,1,{74930},[],1,{1},[47737],"{58521, 14403}",[47062],Buchwald-Hartwig_amination,False,[104]
78633,CC(C)c1cccc2c1nc(Cl)n2C,DNKORNSFUCJWJH-UHFFFAOYSA-N,1,1,{101611},[],1,{1},[64989],"{4558, 78631}",[64308],Sp3-sp2_Suzuki_coupling,False,[1128]
31775,CCCCc1nc(Cn2ccc(Br)c(C)c2=O)no1,GCYRYTOMWWQMFC-UHFFFAOYSA-N,1,1,{35502},[],1,{1},[23024],"{31625, 31653}",[22731],Nucleophilic_substitution_with_amine,False,[1917]
38875,O=C(O)c1cc(Br)ncc1NC(=O)C1CCc2ccc(=O)[nH]c21,PDIJYLSBCDCRNG-UHFFFAOYSA-N,1,4,"{44379, 44380, 100141, 100142}",[],1,{1},[28288],"{37888, 37786}",[27995],Amidation,False,[1012]
26154,Cn1cc(C(=O)NCCC(Cl)Cl)c2ccc(Cl)cc21,IICJJSQIMIVITL-UHFFFAOYSA-N,1,1,{28337},[],1,{1},[18319],"{13690, 4462}",[18151],Amidation,False,[2188]
53169,Cc1nc2ccccc2nc1C1(C)CCOC1,RLIYILQTMXITGN-UHFFFAOYSA-N,1,2,"{65256, 65257}",[],1,{1},[41451],"{52795, 52916}",[40875],Sp3-sp2_Suzuki_coupling,False,[1473]
89145,O=C(COCCCBr)Nc1cccc(F)c1[N+](=O)[O-],PXIQYHIFEOKDLP-UHFFFAOYSA-N,1,1,{114961},[],1,{1},[75782],"{11763, 86686}",[75175],Ester_amidation,False,[2924]
6090,CCOc1ncccc1C(=O)N1CCCCC1c1ccc(O)nc1,FHBQCFGVZIABGO-UHFFFAOYSA-N,1,2,"{8222, 8223}",[],1,{1},[1455],"{6089, 4427}",[1445],Amidation,False,[653]
37350,COc1ccc(NC(=O)C(C)OCc2ccccc2)c(N=[N+]=[N-])c1,ODFOLLXLPAODBO-UHFFFAOYSA-N,1,3,"{42536, 42537, 87260}",[],1,{1},[27101],"{35584, 36435}",[26808],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[3624]
78632,Cn1c(C2CC2)nc2c(Br)cccc21,LHYZZIVEMKXAAX-UHFFFAOYSA-N,1,1,{101610},[],1,{1},[64988],"{78581, 78631}",[64306],Sp3-sp2_Suzuki_coupling,False,[1128]
87122,C#CCOCC(=O)Nc1ccc(Br)c(F)c1N,JNHODBGOYNNYIN-UHFFFAOYSA-N,1,1,{112501},[],1,{1},[73693],"{10336, 86614}",[73011],Ester_amidation,False,[2924]
6608,COCCOc1ncccc1C(=O)N1CCCC1c1ccc(OC)nc1,WFNSHSCUFNWUKV-UHFFFAOYSA-N,1,1,{8799},[],1,{1},[1942],"{6084, 5836}",[1932],Amidation,False,[653]
72861,COc1ccc(N)cc1C(=O)Nc1ccc(O)cc1Cl,YHKDWKTYJVUXJA-UHFFFAOYSA-N,1,1,{93876},[],1,{1},[59277],"{72795, 9132}",[58596],Ester_amidation,False,[3627]
73794,COc1ccc(N)cc1C(=O)Nc1cc(I)c(OC)c(I)c1,RSECLUYFDJDZLL-UHFFFAOYSA-N,1,1,{94770},[],1,{1},[60245],"{17258, 72795}",[59564],Ester_amidation,False,[3627]
6278,C#CCOc1ncccc1C(=O)N1CCCC1c1ccc(OC)nc1,LIQLVJPJJWUNTN-UHFFFAOYSA-N,1,2,"{8429, 8430}",[],1,{1},[1631],"{6084, 5797}",[1621],Amidation,False,[653]
26794,CC1C(=O)NCCN1C(=O)c1cn(C)c2cc(Cl)ccc12,ZMDCDCNRNFPSKS-UHFFFAOYSA-N,1,2,"{29174, 29175}",[],1,{1},[18959],"{14043, 4462}",[18791],Amidation,False,[2188]
63063,CC1NCCN(C(=O)c2cccc(F)c2)C1C,DSKLWYLUOYOGIS-UHFFFAOYSA-N,1,4,"{78092, 78093, 78094, 78095}",[],1,{1},[50324],"{63062, 4534}",[49649],Amidation,False,[1316]
31658,CC(C)Cc1nc(Cn2ccc(Br)cc2=O)no1,COGGJXJYVKRWBT-UHFFFAOYSA-N,1,1,{35388},[],1,{1},[22923],"{31657, 84}",[22630],Nucleophilic_substitution_with_amine,False,[1917]
63089,CC1C(=O)NCCN1C(=O)c1cccc(F)c1,MEOXWDYTCBKLHA-UHFFFAOYSA-N,1,2,"{78121, 78122}",[],1,{1},[50336],"{14043, 4534}",[49661],Amidation,False,[1316]
53820,CC1(c2cnc3ccc(C(F)(F)F)cc3n2)CCOC1,UKNCSKXDMGDGGR-UHFFFAOYSA-N,1,2,"{66274, 66275}",[],1,{1},[42132],"{53202, 52916}",[41560],Sp3-sp2_Suzuki_coupling,False,[1473]
71736,COc1ccc(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1Cl,XQVWEFPZQVNVAK-UHFFFAOYSA-N,1,1,{92657},[],1,{1},[58157],"{10922, 68670}",[57476],Amidation,False,[2919]
78625,Cn1c(O)nc2c(C3CC3)cccc21,SAONFCRNJNWZTP-UHFFFAOYSA-N,1,1,{101604},[],1,{1},[64975],"{78581, 78623}",[64299],Sp3-sp2_Suzuki_coupling,False,[1128]
16778,COc1ccc(Nc2c(C)cccc2O)cc1F,OFNWGMGELABUDG-UHFFFAOYSA-N,1,1,{17969},[],1,{1},[8974],"{4451, 10862}",[8904],Buchwald-Hartwig_amination,False,[3625]
31654,CCCCc1nc(Cn2ccc(Br)cc2=O)no1,RFILRJYCSBEXQS-UHFFFAOYSA-N,1,1,{35385},[],1,{1},[22920],"{84, 31653}",[22627],Nucleophilic_substitution_with_amine,False,[1917]
73792,COc1ccc(N)cc1C(=O)Nc1ccc(O)c(C#N)c1F,VQXPJAIIEBZGRT-UHFFFAOYSA-N,1,1,{94768},[],1,{1},[60243],"{4497, 72795}",[59562],Ester_amidation,False,[3627]
78624,CC(C)c1cccc2c1nc(O)n2C,LBCFCMGMDDFRLQ-UHFFFAOYSA-N,1,1,{101603},[],1,{1},[64974],"{4558, 78623}",[64297],Sp3-sp2_Suzuki_coupling,False,[1128]
73789,COc1ccc(N)cc1C(=O)Nc1ccc(O)cc1[N+](=O)[O-],OQZRBJWDOCUJPT-UHFFFAOYSA-N,1,1,{94765},[],1,{1},[60240],"{72795, 17246}",[59559],Ester_amidation,False,[3627]
87276,C#CCOCC(=O)Nc1cc(F)c(Cl)cc1N,XVBMZRODRGCHRP-UHFFFAOYSA-N,1,1,{112656},[],1,{1},[73847],"{10293, 86614}",[73164],Ester_amidation,False,[2924]
78314,COc1cccc(C(F)(F)C(=O)Nc2cnc(Br)cc2C(=O)O)n1,DEVDABKSPBNPNJ-UHFFFAOYSA-N,1,1,{101218},[],1,{1},[64686],"{37888, 77062}",[64005],Amidation,False,[1012]
27198,CC1C(=O)NCCN1C(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12,KKVUAUMAKLBZSA-UHFFFAOYSA-N,1,2,"{29728, 29729}",[],1,{1},[19363],"{25833, 14043}",[19195],Amidation,False,[2188]
36367,COCC(=O)NOCC(=O)Nc1cc(Br)c(OC)cc1N,QFWCCAFJHGWTNF-UHFFFAOYSA-N,1,1,{40624},[],1,{1},[26144],"{35857, 35532}",[25852],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[3624]
12156,NC(=O)c1cc(Cl)c(C(=O)Nc2cc(I)c(O)c(I)c2)c(Cl)c1,ASAAPRSTPXPBNA-UHFFFAOYSA-N,1,1,{13801},[],1,{1},[5938],"{4579, 10228}",[5868],Amidation,False,[2944]
71664,COc1ccc(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1F,XQBWNYIULVAPAO-UHFFFAOYSA-N,1,1,{92573},[],1,{1},[58085],"{68670, 10862}",[57404],Amidation,False,[2919]
53815,CC1(c2cnc3cc(C(F)(F)F)ccc3n2)CCOC1,XPJCJAAYZAWODY-UHFFFAOYSA-N,1,2,"{66267, 66268}",[],1,{1},[42127],"{53200, 52916}",[41555],Sp3-sp2_Suzuki_coupling,False,[1473]
71830,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc([N+](=O)[O-])cc3)cc(Cl)c21,KFVWAEIMISKGBT-UHFFFAOYSA-N,1,1,{92767},[],1,{1},[58251],"{68670, 10782}",[57570],Amidation,False,[2919]
74593,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1ccc(O)cc1Cl,GKFPEJOKNPVGKC-UHFFFAOYSA-N,1,1,{95555},[],1,{1},[61029],"{74586, 9132}",[60374],Ester_amidation,False,[3627]
75609,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1cc(F)c(O)cc1Cl,KEMBBUSRGXJKDQ-UHFFFAOYSA-N,1,1,{96554},[],1,{1},[62052],"{10848, 74586}",[61371],Ester_amidation,False,[3627]
54163,FC(F)(F)c1ccc2ncc(C3(C4CC4)CCOCC3)nc2c1,OPLUMYKLNGIJGH-UHFFFAOYSA-N,1,1,{66728},[],1,{1},[42481],"{53202, 53478}",[41907],Sp3-sp2_Suzuki_coupling,False,[1473]
11604,Cc1cc(Cl)c(N)cc1NC(=O)c1c(Cl)cc(C(N)=O)cc1Cl,BPQDCDFMWBLKPY-UHFFFAOYSA-N,1,1,{13422},[],1,{1},[5565],"{11194, 4579}",[5495],Amidation,False,[2944]
69238,Cc1ccccc1NC(=O)c1cc(Cl)c2c(c1)[nH]c(=O)n2C,KZFJISGZOSRQIS-UHFFFAOYSA-N,1,1,{89117},[],1,{1},[55659],"{8601, 68670}",[54978],Amidation,False,[2919]
26522,Cn1cc(C(=O)NCc2cccs2)c2ccc(Cl)cc21,XHOFNXFGDGKUJA-UHFFFAOYSA-N,1,1,{28815},[],1,{1},[18687],"{4440, 4462}",[18519],Amidation,False,[2188]
84125,COc1cc(C=O)c(Nc2cc(F)ccc2O)c(OC)c1,DWBJVFHAFXRLAF-UHFFFAOYSA-N,1,1,{108523},[],1,{1},[70646],"{8945, 18254}",[69965],Buchwald-Hartwig_amination,False,[2925]
76514,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1ccc(O)c(C#N)c1F,PTYWZFJTOTWABR-UHFFFAOYSA-N,1,1,{97458},[],1,{1},[62949],"{4497, 74586}",[62268],Ester_amidation,False,[3627]
41086,COc1ccc(Nc2ccncc2O)cc1F,GMYQXVROVXYEQF-UHFFFAOYSA-N,1,1,{47112},[],1,{1},[30345],"{4483, 10862}",[30052],Buchwald-Hartwig_amination,False,[3628]
12660,NC(=O)c1cc(Cl)c(C(=O)Nc2cccc(F)c2[N+](=O)[O-])c(Cl)c1,ALADTVBLYHSRSI-UHFFFAOYSA-N,1,1,{14219},[],1,{1},[6352],"{4579, 11763}",[6282],Amidation,False,[2944]
31695,Cc1c(Br)ccn(Cc2noc(CC(C)C)n2)c1=O,NHHPFWDGHSIVLB-UHFFFAOYSA-N,1,1,{35424},[],1,{1},[22952],"{31625, 31657}",[22659],Nucleophilic_substitution_with_amine,False,[1917]
78654,Cn1c(C2COC2)nc2c(Br)cccc21,DJRXQXKRFFYMDY-UHFFFAOYSA-N,1,1,{101627},[],1,{1},[65013],"{78631, 78607}",[64332],Sp3-sp2_Suzuki_coupling,False,[1128]
87775,Nc1cc(Cl)c(F)cc1NC(=O)COCCCBr,GIKRGPZFQIFVCW-UHFFFAOYSA-N,1,1,{113254},[],1,{1},[74350],"{10293, 86686}",[73669],Ester_amidation,False,[2924]
31626,CCc1nc(Cn2ccc(Br)c(C)c2=O)no1,SHZLHXGONWQKGR-UHFFFAOYSA-N,1,1,{35363},[],1,{1},[22898],"{4472, 31625}",[22605],Nucleophilic_substitution_with_amine,False,[1917]
11265,NC(=O)c1cc(Cl)c(C(=O)Nc2c(N)ccc(Br)c2F)c(Cl)c1,YOSCSIZXLRCNOC-UHFFFAOYSA-N,1,1,{13084},[],1,{1},[5229],"{10336, 4579}",[5159],Amidation,False,[2944]
52915,OCCC1(c2cnc3ccccc3n2)CC1,UUEBHTHWLMOVGK-UHFFFAOYSA-N,1,1,{64953},[],1,{1},[41198],"{4505, 52914}",[40624],Sp3-sp2_Suzuki_coupling,False,[1473]
49737,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CCNC(=O)C1C,KVCGPDHHRCKIJN-UHFFFAOYSA-N,1,2,"{55884, 55885}",[],1,{2},"[37286, 38558]","{4497, 14043, 15671}",[38035],"N-nucleophilic_aromatic_substitution, Amidation",False,[3611]
78580,CC(C)c1cccc2c1ncn2C,KAVXAOQZINTUMZ-UHFFFAOYSA-N,1,1,{101568},[],1,{1},[64940],"{78576, 4558}",[64259],Sp3-sp2_Suzuki_coupling,False,[1128]
78634,CC(C)c1nc2c(Br)cccc2n1C,IXJSJFAULWMXMP-UHFFFAOYSA-N,1,1,{101612},[],1,{1},[64990],"{4558, 78631}",[64310],Sp3-sp2_Suzuki_coupling,False,[1128]
53232,FC(F)(F)c1ccc2ncc(C34CC3C4)nc2c1,DULFQHLZJMRIIY-UHFFFAOYSA-N,1,1,{65370},[],1,{1},[41514],"{53202, 52789}",[40940],Sp3-sp2_Suzuki_coupling,False,[1473]
87511,C#CCOCC(=O)Nc1cccc(F)c1[N+](=O)[O-],AHRXHFQLYSZECJ-UHFFFAOYSA-N,1,1,{112977},[],1,{1},[74087],"{11763, 86614}",[73406],Ester_amidation,False,[2924]
