hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,chemistry_types,scaffold_series
19191,COc1cc(Nc2ccc3c(c2)CCO3)cc(CO)c1I,JMZMQZXISAVQJQ-UHFFFAOYSA-N,1,1,{20328},[],1,{1},[11430],"{16954, 16805}",Buchwald-Hartwig_amination,[3625]
43072,COc1c(C)cc(Nc2c(O)cncc2F)cc1C,XBOFVLPMPMRDCG-UHFFFAOYSA-N,1,1,{49062},[],1,{1},[32428],"{40866, 12012}",Buchwald-Hartwig_amination,[3628]
69943,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc(F)cc3N)cc(Cl)c21,KCPNXXBXGCTVPD-UHFFFAOYSA-N,1,1,{90643},[],1,{1},[56364],"{8757, 68670}",Amidation,[2919]
87600,COC(C(=O)O)C(=O)Nc1c(F)ccc(F)c1N,SNLPJQHLNQBJBW-UHFFFAOYSA-N,1,2,"{113077, 113078}",[],1,{1},[74175],"{16017, 10131}",Ester_amidation,[2924]
89330,COC(C)(C(=O)O)C(=O)Nc1ccc(C)c(F)c1N,VBWCXSLNINFTLN-UHFFFAOYSA-N,1,2,"{115197, 115198}",[],1,{1},[76039],"{11001, 80778}",Ester_amidation,[2924]
86960,Cc1cc(N)c(NC(=O)COCCBr)cc1F,ZHHDIDFVCDZQMQ-UHFFFAOYSA-N,1,1,{112270},[],1,{1},[73494],"{10960, 86594}",Ester_amidation,[2924]
87800,Nc1ccc(Br)c(O)c1NC(=O)COCC(=O)O,JVJGGICVKQBCFL-UHFFFAOYSA-N,1,1,{113279},[],1,{1},[74377],"{10330, 16038}",Ester_amidation,[2924]
11710,CSc1cc(O)ccc1NC(=O)c1c(Cl)cc(C(N)=O)cc1Cl,SZQDCULWSIZYCD-UHFFFAOYSA-N,1,1,{13529},[],1,{1},[5671],"{4579, 10364}",Amidation,[2944]
88127,COC(C)(C(=O)O)C(=O)Nc1cc(F)ccc1N,AXIRKSHUFYFYNN-UHFFFAOYSA-N,1,2,"{113699, 113700}",[],1,{1},[74702],"{80778, 8757}",Ester_amidation,[2924]
70506,Nc1cc(I)c(Cl)cc1NC(=O)c1cc(Cl)c2nc(O)[nH]c2c1,SXYVLUOFUZMZEW-UHFFFAOYSA-N,1,1,{91210},[],1,{1},[56927],"{10160, 68261}",Amidation,[2919]
88749,Cc1c(F)ccc(N)c1NC(=O)C1(CN)CCCO1,UJNCRIXBAOBQAJ-UHFFFAOYSA-N,1,2,"{114373, 114374}",[],1,{1},[75316],"{10968, 87483}",Ester_amidation,[2924]
87779,Cc1cc(NC(=O)COCCCBr)c(N)cc1F,RTMDVGFUJNUVJJ-UHFFFAOYSA-N,1,1,{113258},[],1,{1},[74354],"{10960, 86686}",Ester_amidation,[2924]
86443,Cc1ccc(NC(=O)C2CO2)c(N)c1F,KANNEGXAGGSHSU-UHFFFAOYSA-N,1,2,"{111672, 111673}",[],1,{1},[72886],"{11001, 86242}",Ester_amidation,[2924]
70847,COc1ccc(NC(=O)c2cc(Cl)c3nc(O)[nH]c3c2)c(Br)c1,CPAHGIPOWMNTQJ-UHFFFAOYSA-N,1,1,{91619},[],1,{1},[57268],"{10824, 68261}",Amidation,[2919]
68262,O=C(Nc1ccccc1)c1cc(Cl)c2nc(O)[nH]c2c1,BRXDFUQBRMXYHM-UHFFFAOYSA-N,1,1,{87743},[],1,{1},[54684],"{68261, 4439}",Amidation,[2919]
87240,Nc1cc(Cl)c(I)cc1NC(=O)COCCO,BWSJZFOCRGAJBC-UHFFFAOYSA-N,1,1,{112618},[],1,{1},[73811],"{10160, 86571}",Ester_amidation,[2924]
87861,COC(C(=O)O)C(=O)N(C)c1cccc(Br)c1N,OEYHWPRHGBUHSL-UHFFFAOYSA-N,1,2,"{113358, 113359}",[],1,{1},[74438],"{16017, 86282}",Ester_amidation,[2924]
87728,CN(C(=O)COCCCBr)c1cccc(Br)c1N,ZOCCIVREYWDEHZ-UHFFFAOYSA-N,1,1,{113207},[],1,{1},[74303],"{86282, 86686}",Ester_amidation,[2924]
89091,CC1(C(=O)Nc2c(N)ccc(Br)c2O)CNCCO1,SHAPNOGXDNVORA-UHFFFAOYSA-N,1,2,"{114872, 114873}",[],1,{1},[75728],"{10330, 87461}",Ester_amidation,[2924]
9790,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(F)cc2N)c(Cl)c1,ZZZIOWKDTQACJU-UHFFFAOYSA-N,1,1,{12122},[],1,{1},[4271],"{4579, 8757}",Amidation,[2944]
53916,Fc1cccc2nc(C34CC(C5CCCC5)(C3)C4)cnc12,FDVSRZDPYNTQEB-UHFFFAOYSA-N,1,1,{66411},[],1,{1},[42237],"{53784, 52788}",Sp3-sp2_Suzuki_coupling,[1473]
86572,Nc1ccc(Br)cc1NC(=O)COCCO,CMZBCCAPKWLNQV-UHFFFAOYSA-N,1,1,{111866},[],1,{1},[73086],"{8673, 86571}",Ester_amidation,[2924]
69767,Cc1cc(F)ccc1NC(=O)c1cc(Cl)c2nc(O)[nH]c2c1,IHKUOCWEIJSBER-UHFFFAOYSA-N,1,1,{90327},[],1,{1},[56188],"{9052, 68261}",Amidation,[2919]
86798,Nc1ccc(F)cc1NC(=O)C1CNCCO1,NTNVEHZNYAOZQT-UHFFFAOYSA-N,1,2,"{112093, 112094}",[],1,{1},[73307],"{86797, 8757}",Ester_amidation,[2924]
87944,COC(C(=O)O)C(=O)Nc1cc(F)c(C)cc1N,QODQVQPNFADPKL-UHFFFAOYSA-N,1,1,{113456},[],1,{1},[74520],"{10960, 16017}",Ester_amidation,[2924]
87729,Cc1cc(NC(=O)COCCCBr)c(N)cc1Br,PGJAZSRUDQMMIA-UHFFFAOYSA-N,1,1,{113208},[],1,{1},[74304],"{10157, 86686}",Ester_amidation,[2924]
86621,Nc1c(O)cccc1NC(=O)COCCCl,ZZYPJRFLWVVWSY-UHFFFAOYSA-N,1,1,{111915},[],1,{1},[73137],"{8692, 86597}",Ester_amidation,[2924]
63032,CC1CNCCN1C(=O)c1cccc(F)c1N,YFCWJGDZDPBTFK-UHFFFAOYSA-N,1,2,"{78057, 78058}",[],1,{1},[50311],"{11755, 4535}",Amidation,[1316]
71640,Cn1c(=O)[nH]c2cc(C(=O)Nc3cc(I)c(Cl)cc3N)cc(Cl)c21,YKQCRTQSGURNEG-UHFFFAOYSA-N,1,1,{92549},[],1,{1},[58061],"{10160, 68670}",Amidation,[2919]
42748,COc1cncc(Br)c1Nc1ccc(O)c(Cl)c1Br,LSJQJKJFVTWTSS-UHFFFAOYSA-N,1,1,{48738},[],1,{1},[32089],"{10240, 40914}",Buchwald-Hartwig_amination,[3628]
86856,Cc1cc(NC(=O)COCCBr)c(N)cc1Cl,GVENKBOUGLNPDK-UHFFFAOYSA-N,1,1,{112160},[],1,{1},[73382],"{10154, 86594}",Ester_amidation,[2924]
41969,Cc1cc(Nc2cncc(O)c2Br)cc(C)c1O,CYSOGTMCLDJTAX-UHFFFAOYSA-N,1,1,{47974},[],1,{1},[31291],"{40872, 16834}",Buchwald-Hartwig_amination,[3628]
87106,CNc1ccc(Br)cc1NC(=O)COCCCl,HUTVRTGEABYIGN-UHFFFAOYSA-N,1,1,{112484},[],1,{1},[73677],"{86307, 86597}",Ester_amidation,[2924]
53992,O=C(O)C12C3C4C1C1C2C3C41c1cnc2ccccc2n1,SIWAMZRIHXLWJB-UHFFFAOYSA-N,1,1,{66528},[],1,{1},[42309],"{4505, 53991}",Sp3-sp2_Suzuki_coupling,[1473]
86709,CCOC(=O)C(=O)Nc1ccc(Br)c(O)c1N,OKQATKYMESJMAZ-UHFFFAOYSA-N,1,1,{112000},[],1,{1},[73414],"{10330, 86549}",Ester_amidation,[2924]
70509,Cc1cc(N)c(NC(=O)c2cc(Cl)c3nc(O)[nH]c3c2)cc1Br,IPUIXGAXSUBNDX-UHFFFAOYSA-N,1,1,{91213},[],1,{1},[56930],"{10157, 68261}",Amidation,[2919]
87925,C#CCCOCC(=O)Nc1ccc(Br)c(O)c1N,NYNFKEMDNOXRJR-UHFFFAOYSA-N,1,1,{113434},[],1,{1},[74501],"{10330, 86695}",Ester_amidation,[2924]
88751,Cc1ccc(N)c(NC(=O)C2(CN)CCCO2)c1F,OOVWJHPMFVRINC-UHFFFAOYSA-N,1,2,"{114377, 114378}",[],1,{1},[75318],"{11001, 87483}",Ester_amidation,[2924]
86448,Cc1c(F)ccc(N)c1NC(=O)C1CO1,HBQBWIYUUFLBEN-UHFFFAOYSA-N,1,2,"{111682, 111683}",[],1,{1},[72891],"{10968, 86242}",Ester_amidation,[2924]
29545,CC(=O)c1cc(=O)n(CC2CCS(=O)(=O)C2)c(=O)[nH]1,NYOQAQVVFGPVQX-UHFFFAOYSA-N,1,2,"{31886, 31887}",[],1,{1},[21201],"{4466, 29490}",Nucleophilic_substitution_with_amine,[95]
86867,Nc1ccc(Br)c(O)c1NC(=O)COCCBr,IHTJDWRVVKVVHZ-UHFFFAOYSA-N,1,1,{112171},[],1,{1},[73393],"{10330, 86594}",Ester_amidation,[2924]
88438,CC(C)(C)OC(=O)C(=O)N1CCNc2ccccc21,XTONPCMWZGGBFU-UHFFFAOYSA-N,1,1,{114037},[],1,{1},[75794],"{10147, 86549}",Ester_amidation,[2924]
42638,COc1ccc(Nc2cc(Cl)ncc2OC)c(C)c1,YYOFAEBDKRSZHP-UHFFFAOYSA-N,1,1,{48629},[],1,{1},[31965],"{16829, 40927}",Buchwald-Hartwig_amination,[3628]
87964,C#CCCOCC(=O)N(C)c1cccc(Br)c1N,NALZRBTVAJZBPH-UHFFFAOYSA-N,1,1,{113480},[],1,{1},[74540],"{86282, 86695}",Ester_amidation,[2924]
87309,Nc1ccc(F)cc1NC(=O)C1OCCNC1=O,SNAFPJORBRVQFU-UHFFFAOYSA-N,1,2,"{112689, 112690}",[],1,{1},[73879],"{87305, 8757}",Ester_amidation,[2924]
87858,COC(C(=O)O)C(=O)Nc1c(N)ccc(Br)c1O,ABZULVRYXSGRBG-UHFFFAOYSA-N,1,2,"{113352, 113353}",[],1,{1},[74435],"{16017, 10330}",Ester_amidation,[2924]
89343,COC(C)(C(=O)O)C(=O)Nc1cc(C)c(Cl)cc1N,LUZWLQZYCVGFKG-UHFFFAOYSA-N,1,2,"{115218, 115219}",[],1,{1},[76052],"{10154, 80778}",Ester_amidation,[2924]
11628,Cc1ccc(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)c(N)c1F,VIWJJAUHSXYJBG-UHFFFAOYSA-N,1,1,{13446},[],1,{1},[5589],"{11001, 4579}",Amidation,[2944]
88755,Cc1cc(C)c(N)c(NC(=O)C2(CN)CCCO2)c1,NFRIWYBTDJBDTB-UHFFFAOYSA-N,1,2,"{114384, 114385}",[],1,{1},[75322],"{86370, 87483}",Ester_amidation,[2924]
88006,C#CCCOCC(=O)Nc1cc(I)c(Cl)cc1N,AKSZIRMHVDMFQN-UHFFFAOYSA-N,1,1,{113528},[],1,{1},[74582],"{10160, 86695}",Ester_amidation,[2924]
87921,C#CCCOCC(=O)N1CCNc2ccccc21,QRZOJAWCKGSBOT-UHFFFAOYSA-N,1,1,{113431},[],1,{1},[74498],"{10147, 86695}",Ester_amidation,[2924]
88752,Cc1ccc(NC(=O)C2(CN)CCCO2)c(N)c1F,YMMNLAZUQFWVQJ-UHFFFAOYSA-N,1,2,"{114379, 114380}",[],1,{1},[75319],"{11001, 87483}",Ester_amidation,[2924]
87157,Cc1c(F)ccc(NC(=O)COCCO)c1N,SZFDWJXYUFXAMZ-UHFFFAOYSA-N,1,1,{112536},[],1,{1},[73728],"{10968, 86571}",Ester_amidation,[2924]
78624,CC(C)c1cccc2c1nc(O)n2C,LBCFCMGMDDFRLQ-UHFFFAOYSA-N,1,1,{101603},[],1,{1},[64974],"{4558, 78623}",Sp3-sp2_Suzuki_coupling,[1128]
72299,Cc1cc(N)c(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1F,PPRLUTIFWGKTDZ-UHFFFAOYSA-N,1,1,{93311},[],1,{1},[58719],"{10960, 68670}",Amidation,[2919]
70508,Cc1cc(NC(=O)c2cc(Cl)c3nc(O)[nH]c3c2)c(N)cc1Br,LSJHCLRKCBZGLT-UHFFFAOYSA-N,1,1,{91212},[],1,{1},[56929],"{10157, 68261}",Amidation,[2919]
71372,Cn1c(=O)[nH]c2cc(C(=O)Nc3cc(Cl)c(Cl)cc3Cl)cc(Cl)c21,VDHMZVVQNYXQBI-UHFFFAOYSA-N,1,1,{92281},[],1,{1},[57793],"{10218, 68670}",Amidation,[2919]
72324,Cc1ccc(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)c(N)c1F,NDFNMUZBSGUJGY-UHFFFAOYSA-N,1,1,{93336},[],1,{1},[58744],"{11001, 68670}",Amidation,[2919]
79079,Cn1c(C2CCOC2)nc2c(Br)cccc21,KLYQQFRYWZYXDU-UHFFFAOYSA-N,1,2,"{102131, 102132}",[],1,{1},[65480],"{78851, 78631}",Sp3-sp2_Suzuki_coupling,[1128]
89250,COC(C)(C(=O)O)C(=O)Nc1c(N)ccc(Br)c1O,FJDBEGNCPSFTQU-UHFFFAOYSA-N,1,2,"{115104, 115105}",[],1,{1},[75959],"{10330, 80778}",Ester_amidation,[2924]
71615,Cn1c(=O)[nH]c2cc(C(=O)Nc3cc(Cl)c(I)cc3N)cc(Cl)c21,MVZXOZDFKIMVRD-UHFFFAOYSA-N,1,1,{92524},[],1,{1},[58036],"{10160, 68670}",Amidation,[2919]
70322,Nc1cc(Br)cc(O)c1NC(=O)c1cc(Cl)c2nc(O)[nH]c2c1,PIRZGYIFDNVSCW-UHFFFAOYSA-N,1,1,{91026},[],1,{1},[56743],"{68261, 10327}",Amidation,[2919]
53171,Cc1nc2ccccc2nc1C(C)(C)C1CC1,WLEGWKBKLYJFBF-UHFFFAOYSA-N,1,1,{65259},[],1,{1},[41453],"{52920, 52795}",Sp3-sp2_Suzuki_coupling,[1473]
86488,Cc1cc(NC(=O)C2CO2)c(N)cc1F,CHCZGFAWISZDRE-UHFFFAOYSA-N,1,2,"{111737, 111738}",[],1,{1},[72931],"{10960, 86242}",Ester_amidation,[2924]
87153,Cc1cc(C)c(N)c(NC(=O)COCCO)c1,GWHHTDHEDFXPRA-UHFFFAOYSA-N,1,1,{112532},[],1,{1},[73724],"{86370, 86571}",Ester_amidation,[2924]
11259,Cc1cc(N)c(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)cc1Cl,UJYGJTOQGTVDNO-UHFFFAOYSA-N,1,1,{13078},[],1,{1},[5223],"{10154, 4579}",Amidation,[2944]
89085,Cc1ccc(N)c(NC(=O)C2(C)CNCCO2)c1F,KFNQCOBLGDSGON-UHFFFAOYSA-N,1,2,"{114861, 114862}",[],1,{1},[75722],"{11001, 87461}",Ester_amidation,[2924]
12299,Cc1cc(F)c(Br)cc1NC(=O)c1c(Cl)cc(C(N)=O)cc1Cl,NFDNKMZNQOJSQM-UHFFFAOYSA-N,1,1,{13945},[],1,{1},[6080],"{10802, 4579}",Amidation,[2944]
11393,Cc1cc(N)c(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)cc1F,HTLAYWFVVBTOCO-UHFFFAOYSA-N,1,1,{13213},[],1,{1},[5356],"{10960, 4579}",Amidation,[2944]
11401,NC(=O)c1cc(Cl)c(C(=O)Nc2c(F)ccc(F)c2N)c(Cl)c1,ANIYSDJXDHCPAP-UHFFFAOYSA-N,1,1,{13221},[],1,{1},[5364],"{4579, 10131}",Amidation,[2944]
9865,NC(=O)c1cc(Cl)c(C(=O)Nc2cccc(O)c2N)c(Cl)c1,LLWCNOCMIQXADI-UHFFFAOYSA-N,1,1,{12197},[],1,{1},[4346],"{4579, 8692}",Amidation,[2944]
16018,COC(C(=O)Nc1cccc(C(=O)NCc2cccs2)c1)C(=O)OC(C)(C)C,VVIUCFFHLGOWHK-UHFFFAOYSA-N,1,1,{17036},[],1,{1},[8343],"{16017, 4450}",Amidation,[2916]
86256,Nc1ccc(F)cc1NC(=O)C1CO1,QPFFXTAITBJALQ-UHFFFAOYSA-N,1,2,"{111417, 111418}",[],1,{1},[72705],"{86242, 8757}",Ester_amidation,[2924]
87855,CNc1ccc(Br)cc1NC(=O)C(OC)C(=O)O,AIKINYOIJINLCN-UHFFFAOYSA-N,1,2,"{113347, 113348}",[],1,{1},[74432],"{16017, 86307}",Ester_amidation,[2924]
88275,Cc1cc(NC(=O)C2CNCCO2)c(N)cc1F,LRMRNKZDBBTSEY-UHFFFAOYSA-N,1,2,"{113869, 113870}",[],1,{1},[74849],"{10960, 86797}",Ester_amidation,[2924]
89332,COC(C)(C(=O)O)C(=O)Nc1c(N)ccc(F)c1C,JEJZCXXFXSHXLL-UHFFFAOYSA-N,1,1,{115201},[],1,{1},[76041],"{10968, 80778}",Ester_amidation,[2924]
71135,Cn1c(=O)[nH]c2cc(C(=O)Nc3cc(O)ccc3Br)cc(Cl)c21,WBYDKIQWNIYSNG-UHFFFAOYSA-N,1,1,{92041},[],1,{1},[57556],"{4476, 68670}",Amidation,[2919]
86822,Nc1c(O)cccc1NC(=O)C1CNCCO1,WUCKOVOZHPUQOK-UHFFFAOYSA-N,1,2,"{112125, 112126}",[],1,{1},[73331],"{8692, 86797}",Ester_amidation,[2924]
72282,O=C(Nc1c(F)cccc1C(=O)O)c1cc(Cl)c2nc(O)[nH]c2c1,SXBQTDXZGQIXJM-UHFFFAOYSA-N,1,1,{93294},[],1,{1},[58702],"{11755, 68261}",Amidation,[2919]
87875,COC(C(=O)O)C(=O)N1CCNc2ccccc21,YDZWGVIJHLMRMY-UHFFFAOYSA-N,1,1,{113382},[],1,{1},[74452],"{16017, 10147}",Ester_amidation,[2924]
88352,Cc1c(F)ccc(N)c1NC(=O)C(=O)OC(C)(C)C,BXCGWFMWXNPPHY-UHFFFAOYSA-N,1,1,{113950},[],1,{1},[75851],"{10968, 86549}",Ester_amidation,[2924]
53085,CC(C)(c1cnc2c(F)cccc2n1)C1CC1,VOFWBUSBEYKNPO-UHFFFAOYSA-N,1,1,{65161},[],1,{1},[41386],"{52920, 52788}",Sp3-sp2_Suzuki_coupling,[1473]
88005,C#CCCOCC(=O)Nc1cc(Cl)c(I)cc1N,UFSOGANPUFBMQU-UHFFFAOYSA-N,1,1,{113527},[],1,{1},[74581],"{10160, 86695}",Ester_amidation,[2924]
9867,NC(=O)c1cc(Cl)c(C(=O)Nc2cc(Br)ccc2N)c(Cl)c1,QXMABBHFLKEMLR-UHFFFAOYSA-N,1,1,{12199},[],1,{1},[4348],"{8673, 4579}",Amidation,[2944]
88821,NCC1(C(=O)Nc2cc(Cl)c(I)cc2N)CCCO1,VZWQKSMBJSBKQE-UHFFFAOYSA-N,1,2,"{114486, 114487}",[],1,{1},[75386],"{10160, 87483}",Ester_amidation,[2924]
80002,Cn1c(N)nc2cccc(C3(C)CC3(C)C)c21,KMHOHNXAANOZND-UHFFFAOYSA-N,1,2,"{103449, 103450}",[],1,{1},[66459],"{4530, 52908}",Sp3-sp2_Suzuki_coupling,[1128]
89097,CC1(C(=O)Nc2cc(I)c(Cl)cc2N)CNCCO1,VESIJBMVRPQMDM-UHFFFAOYSA-N,1,2,"{114884, 114885}",[],1,{1},[75734],"{10160, 87461}",Ester_amidation,[2924]
86693,Nc1ccc(Br)cc1NC(=O)COCCCBr,XKFATSSWWJNGBB-UHFFFAOYSA-N,1,1,{111986},[],1,{1},[73208],"{8673, 86686}",Ester_amidation,[2924]
89247,CNc1ccc(Br)cc1NC(=O)C(C)(OC)C(=O)O,PQEQILYYKWEDTD-UHFFFAOYSA-N,1,2,"{115099, 115100}",[],1,{1},[75956],"{80778, 86307}",Ester_amidation,[2924]
88935,Nc1ccc(Br)c(O)c1NC(=O)C1OCCNC1=O,SEROCRLBNDMMJR-UHFFFAOYSA-N,1,2,"{114653, 114654}",[],1,{1},[75501],"{87305, 10330}",Ester_amidation,[2924]
78737,Cn1c(N)nc2cccc(C(C)(C)C)c21,BLAYPWXDWCKVHA-UHFFFAOYSA-N,1,1,{101716},[],1,{1},[65101],"{4530, 4507}",Sp3-sp2_Suzuki_coupling,[1128]
89127,Cc1cc(N)c(NC(=O)C2(C)CNCCO2)cc1F,FVUQOOQCHAPXET-UHFFFAOYSA-N,1,2,"{114939, 114940}",[],1,{1},[75764],"{10960, 87461}",Ester_amidation,[2924]
89353,COC(C)(C(=O)O)C(=O)Nc1cc(F)c(C)cc1N,NWGFDPQAKFRINQ-UHFFFAOYSA-N,1,2,"{115236, 115237}",[],1,{1},[76062],"{10960, 80778}",Ester_amidation,[2924]
53030,CC(C)(c1nc2ccccc2nc1Br)C1CC1,UJQAVSAMIOQJNQ-UHFFFAOYSA-N,1,1,{65089},[],1,{1},[41325],"{52920, 52777}",Sp3-sp2_Suzuki_coupling,[1473]
86802,CCOC(=O)C(=O)Nc1cc(Br)ccc1NC,UGLHAJSPXOWHSE-UHFFFAOYSA-N,1,1,{112099},[],1,{1},[73370],"{86307, 86549}",Ester_amidation,[2924]
89083,Cc1c(F)ccc(N)c1NC(=O)C1(C)CNCCO1,JDHHJVUQTVVILY-UHFFFAOYSA-N,1,2,"{114858, 114859}",[],1,{1},[75720],"{10968, 87461}",Ester_amidation,[2924]
68853,Nc1ccc(Br)cc1NC(=O)c1cc(Cl)c2nc(O)[nH]c2c1,JSDWPAGOCVDNKG-UHFFFAOYSA-N,1,1,{88731},[],1,{1},[55274],"{8673, 68261}",Amidation,[2919]
9915,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(O)cc2Cl)c(Cl)c1,SAIDAQMCKKGFBM-UHFFFAOYSA-N,1,1,{12247},[],1,{1},[4396],"{4579, 9132}",Amidation,[2944]
11433,NC(=O)c1cc(Cl)c(C(=O)Nc2cc(Br)cc(O)c2N)c(Cl)c1,SUMULVPEHAXQGR-UHFFFAOYSA-N,1,1,{13253},[],1,{1},[5396],"{4579, 10327}",Amidation,[2944]
11851,COc1ccc(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)c(Br)c1,AAIMCXHWVUQIFK-UHFFFAOYSA-N,1,1,{13617},[],1,{1},[5758],"{10824, 4579}",Amidation,[2944]
63693,CC1CN(C(=O)c2cccc(F)c2)C(C)(C)CN1,FRQZSTLBLSDMFL-UHFFFAOYSA-N,1,2,"{79153, 79154}",[],1,{1},[50796],"{63692, 4534}",Amidation,[1316]
87339,CC(C)(C)OC(=O)C(=O)Nc1cc(F)ccc1N,OMXYIVNPWCKNQT-UHFFFAOYSA-N,1,1,{112736},[],1,{1},[73943],"{86549, 8757}",Ester_amidation,[2924]
71926,Cc1c(F)ccc(N)c1NC(=O)c1cc(Cl)c2c(c1)[nH]c(=O)n2C,GNYDXEOSEGKLJK-UHFFFAOYSA-N,1,1,{92932},[],1,{1},[58346],"{10968, 68670}",Amidation,[2919]
79391,Cn1c(N)nc2cccc(C3CC3(C)C)c21,TVJYIAPIDJCYEW-UHFFFAOYSA-N,1,2,"{102542, 102543}",[],1,{1},[65811],"{4530, 54254}",Sp3-sp2_Suzuki_coupling,[1128]
69942,Cn1c(=O)[nH]c2cc(C(=O)Nc3cc(F)ccc3N)cc(Cl)c21,HCUBNQQMTMYTME-UHFFFAOYSA-N,1,1,{90642},[],1,{1},[56363],"{8757, 68670}",Amidation,[2919]
89331,COC(C)(C(=O)O)C(=O)Nc1cc(C)c(Br)cc1N,XDNWBKHPXZLGRD-UHFFFAOYSA-N,1,2,"{115200, 115199}",[],1,{1},[76040],"{80778, 10157}",Ester_amidation,[2924]
78652,CC(C)c1cccc2nc(N)n(C)c12,KVAKLFGAJVRKCG-UHFFFAOYSA-N,1,1,{101625},[],1,{1},[65006],"{4530, 4558}",Sp3-sp2_Suzuki_coupling,[1128]
87792,Nc1cc(I)c(Cl)cc1NC(=O)COCC(=O)O,PXRMGVRTTQITNG-UHFFFAOYSA-N,1,1,{113271},[],1,{1},[74369],"{10160, 16038}",Ester_amidation,[2924]
26522,Cn1cc(C(=O)NCc2cccs2)c2ccc(Cl)cc21,XHOFNXFGDGKUJA-UHFFFAOYSA-N,1,1,{28815},[],1,{1},[18687],"{4440, 4462}",Amidation,[2188]
73685,COc1cc(N)ccc1C(=O)Nc1ccc(O)cc1[N+](=O)[O-],YFBWMALMFMVNGN-UHFFFAOYSA-N,1,1,{94662},[],1,{1},[60137],"{72797, 17246}",Ester_amidation,[3627]
11260,Cc1cc(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)c(N)cc1Cl,ADEUBRHKTUYXJN-UHFFFAOYSA-N,1,1,{13079},[],1,{1},[5224],"{10154, 4579}",Amidation,[2944]
